Text;User;Location;Created;Favourite_count;Retweet_count;Source
RT @McDo_PH: There are 7 reasons to try The BTS Meal! Get it starting 7AM today! Comes with 10-pc Chicken McNuggets, medium fries, a Coke,…;♡ marjoelyn ♡;No tiene;2021-06-23 20:33:52;0;2558;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;Mel;7 It's the number📌방탄 소년단⁷;2021-06-23 20:30:47;0;81;Twitter for Android
"RT @geurim_art: Screenshot and see who you got for your #BTSMeal 
#BTS #btsfanart #artmy 
@BTS_twt https://t.co/RdmMvASmPc";Camila Burgos | YOONGI ME RESPONDIO EN VLIVE;JinHit Entertainment ;2021-06-23 20:30:17;0;6;Twitter Web App
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;Vmon⁷;Paradise, NV;2021-06-23 20:29:08;0;81;Twitter for iPhone
Finally got my #BTSMeal 🥺💜 https://t.co/SqmWkTfTQt;V ⁷ 💜💛;No tiene;2021-06-23 20:28:19;2;0;Twitter for Android
"Screenshot and see who you got for your #BTSMeal 
#BTS #btsfanart #artmy 
@BTS_twt https://t.co/RdmMvASmPc";I'm G⁷| COMMISSIONS OPEN;JinHit Entertainment;2021-06-23 20:28:14;23;6;Twitter Web App
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;∞ 🧈〰️🧈 ⟭⟬Pingu⁷⟬⟭;No tiene;2021-06-23 20:27:03;0;81;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;Sela⁷💛;Indonesia;2021-06-23 20:25:37;0;81;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;raven;No tiene;2021-06-23 20:25:02;0;81;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;me⁷;No tiene;2021-06-23 20:24:28;0;81;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;💜✨⁷;she/her | 90’s baby;2021-06-23 20:22:23;0;81;Twitter for iPhone
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;BTSaye⁷;United Kingdom;2021-06-23 20:20:11;0;81;Twitter for iPad
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;Farah⁷💜🧈🇵🇸;MY;2021-06-23 20:20:03;0;81;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;Jessika⁷;bangtwice + hyuna;2021-06-23 20:20:01;0;81;Twitter for iPhone
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;˙८ ˙ ⁺ ♡ ⁷⁼ ∞;🍃 ;2021-06-23 20:19:54;0;81;Twitter Web App
